subdistrict,city,land_size_m2,building_size_m2,price_mio,certificate,bathroom,maid_bedroom,carport,maid_bathroom,floor_level,garage,kitchen,bedroom,living_room,dining_room,property_type,furniture,voltage_watt,property_condition,house_facing,water_source,corner_property,road_width,region_type
Cilandak,Jakarta Selatan,304.0,750.0,14000.0,SHM,6,2,2,1,3,3+,1,5,1,0,House Type >300,Unfurnished,8200.0,New,North,Groundwater,False,5.0,city
Gambir,Jakarta Pusat,117.0,100.0,3800.0,SHM,2,0,1,0,1,0,1,4,1,0,House Type 120,Unfurnished,4700.0,New,South,Groundwater,False,5.0,city
Tebet,Jakarta Selatan,200.0,300.0,8200.0,SHM,4,0,3,0,2,0,1,4,1,0,House Type 300,Unfurnished,8160.0,New,Northeast,Groundwater,False,6.6,city
Jagakarsa,Jakarta Selatan,156.0,400.0,5100.0,SHM,4,2,2,1,3,2,1,5,2,1,House Type >300,Unfurnished,4400.0,New,Northeast,Groundwater,False,5.0,city
Kebayoran Lama,Jakarta Selatan,102.0,250.0,5900.0,SHM,3,2,1,1,3.5,2,1,3,1,0,House Type 300,Unfurnished,6820.0,Renovated,Northeast,Groundwater,False,6.0,city
Cilandak,Jakarta Selatan,515.0,400.0,13500.0,SHM,4,1,2,1,1,2,2,4,1,0,House Type >300,Semi Furnished,5500.0,New,East,Groundwater,False,5.0,city
Jagakarsa,Jakarta Selatan,119.0,180.0,3100.0,SHM,4,1,2,1,1.5,0,1,4,1,0,House Type 200,Semi Furnished,2200.0,New,Northeast,Groundwater,False,5.0,city
Cakung,Jakarta Timur,130.0,240.0,2500.0,SHM,3,1,0,1,2,0,1,3,1,0,House Type 300,Furnished,3500.0,Renovated,Northeast,Groundwater,False,7.5,city
Kelapa Gading,Jakarta Utara,135.0,156.0,3500.0,SHM,3,1,1,0,2,0,1,4,1,0,House Type 200,Unfurnished,2980.0,Need Renovation,Northeast,Groundwater,False,4.0,city
Pasar Minggu,Jakarta Selatan,102.0,100.0,2900.0,SHM,2,1,2,1,2,0,1,2,1,0,House Type 120,Unfurnished,3500.0,Well Maintained,North,Groundwater,False,5.0,city
Mampang Prapatan,Jakarta Selatan,202.0,239.0,8000.0,SHM,3,1,2,1,3,0,2,3,1,0,House Type 300,Unfurnished,11000.0,New,Northwest,Groundwater,False,6.5,city
Ciracas,Jakarta Timur,113.0,129.0,2500.0,SHM,4,1,2,1,2,0,1,3,1,0,House Type 200,Unfurnished,3340.0,New,Northeast,Groundwater,False,5.5,city
Bogor Barat,Kota Bogor,136.0,220.0,1390.0,SHM,2,0,2,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Gambir,Jakarta Pusat,240.0,100.0,6200.0,SHM,2,0,2,0,0,0,1,2,1,0,House Type 120,Unfurnished,16500.0,Renovated,North,Groundwater,False,5.0,city
Cinere,Depok,64.0,90.0,1310.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,3080.0,New,North,Groundwater,False,4.5,city
Cinere,Depok,64.0,90.0,1310.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,3080.0,New,North,Groundwater,False,4.5,city
Cinere,Depok,64.0,90.0,1315.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,3080.0,New,North,Groundwater,False,4.5,city
